number,name,former_name,kind,jurisdiction,status
200506,YUKON EXPEDITIONS,,Business Name,Yukon,Expired
200507,TAYLOR CHEV LEASE,,Business Name,Yukon,Ceased/Dissolved
200509,KOSTIUK CONTRACTING,,Business Name,Yukon,Expired
200510,POLAR SECURITY,,Business Name,Yukon,Expired
200512,CAN-AM FREIGHT SERVICES,,Business Name,Yukon,Ceased/Dissolved
200515,R BURTON TRUCKING,,Business Name,Yukon,Expired
200517,J R LAURIER HOLDINGS,,Business Name,Yukon,Expired
200519,"BUTTON SHOPPE , THE",,Business Name,Yukon,Expired
200520,"INSTANT PHOTO MAN, THE",,Business Name,Yukon,Expired
200521,FULLER BRUSH CO,,Business Name,Yukon,Ceased/Dissolved
200523,HANSON'S MOBILE REPAIR SERVICE,,Business Name,Yukon,Expired
200525,WHITEHORSE ROOFING,,Business Name,Yukon,Expired
200526,MINI CABS,,Business Name,Yukon,Expired
200528,B JOHNSON TRUCKING,,Business Name,Yukon,Expired
200529,SEMCO ENTERPRISES,,Business Name,Yukon,Expired
200531,FORSYTH TIMBER,,Business Name,Yukon,Expired
200532,YUKON WOOD SERVICES,,Business Name,Yukon,Expired
200533,DIRECT DELIVERIES,,Business Name,Yukon,Ceased/Dissolved
200534,BRUCE CAIRNS WELDING,,Business Name,Yukon,Expired
200536,EQUIPMEND,,Business Name,Yukon,Expired
200538,CLEAR CREEK GOLD,,Business Name,Yukon,Expired
200540,CUSTOM CATERING,,Business Name,Yukon,Ceased/Dissolved
200542,PORTER CREEK SHOPPING CENTRE,,Business Name,Yukon,Ceased/Dissolved
200544,CONSPIRACY,,Business Name,Yukon,Expired
200546,H D ENTERPRISES,,Business Name,Yukon,Expired
200547,TINTINA EXPEDITING,,Business Name,Yukon,Expired
200549,CLASSIC HOLDINGS,,Business Name,Yukon,Ceased/Dissolved
200550,ELECTROLUX CANADA A DIVISION OF CFC PRODUCTS LTD,,Business Name,Yukon,Ceased/Dissolved
200554,KESTREL CONSTRUCTION,,Business Name,Yukon,Expired
200555,YUKON DISTRIBUTORS,,Business Name,Yukon,Expired
200556,MOUNTAIN TRANSFER,,Business Name,Yukon,Expired
200558,TERRY'S GENERAL TRUCKING & TRACTOR SERVICE,,Business Name,Yukon,Expired
200559,YUKON TRAILS,,Business Name,Yukon,Expired
200563,PATTERSON ENTERPRISES,,Business Name,Yukon,Expired
200564,GLACIER ENTERPRISES,,Business Name,Yukon,Expired
200565,LUNDY LANE ENTERPRISES,,Business Name,Yukon,Expired
200566,ARTIC MELON,,Business Name,Yukon,Expired
200570,PRE-MET PLACERS,,Business Name,Yukon,Expired
200575,EVERGREEN LODGE,,Business Name,Yukon,Ceased/Dissolved
200576,YUKON CORDWOOD SALES,,Business Name,Yukon,Expired
200577,ROSS RIVER STORE,,Business Name,Yukon,Ceased/Dissolved
200578,NORTHERN REAL ESTATE,,Business Name,Yukon,Expired
200580,MOUNTAIN REALTY,,Business Name,Yukon,Expired
200584,HERCULES TIRE STORES,,Business Name,Yukon,Expired
200585,WESTERN CANADA TIRE MART,,Business Name,Yukon,Expired
200586,TIMBERPOINT ENTERPRISES,,Business Name,Yukon,Expired
200587,STYX PILOT CAR SERVICE,,Business Name,Yukon,Expired
200589,BREDIN ELECTRIC,,Business Name,Yukon,Expired
200590,PRECISION CONSTRUCTION COMPANY,,Business Name,Yukon,Expired
200591,TRUE NORTH MECHANICAL,,Business Name,Yukon,Ceased/Dissolved
200593,TRIAD RENTALS,,Business Name,Yukon,Expired
200594,RIVQUIP,,Business Name,Yukon,Expired
200595,CALCON,,Business Name,Yukon,Expired
200596,BOB WHITE'S FISHING TRIPS & TAXIDERMY SHOP,,Business Name,Yukon,Expired
200597,MAC'S TRUCKING,,Business Name,Yukon,Expired
200598,2ND AVE CHEVRON,,Business Name,Yukon,Expired
200599,CONSOLIDATED VENTURES,,Business Name,Yukon,Ceased/Dissolved
200602,CANYON EQUIPMENT SALES AND RENTALS,,Business Name,Yukon,Expired
200603,M B W SURVEYS,,Business Name,Yukon,Expired
200605,KLONDIKE KENNELS,,Business Name,Yukon,Expired
200608,R & M SALES,,Business Name,Yukon,Expired
200612,HOTHOUSE INSULATION SERVICE,,Business Name,Yukon,Ceased/Dissolved
200613,BRUCE'S TOWING,,Business Name,Yukon,Expired
